iteration,alpha,f,grad_norm,stopping_reason
216,1e-05,187351.3728304732,42055.89210659891,gradient_tolerance
217,1e-05,169798.36390277164,41548.77939401143,gradient_tolerance
218,1e-05,152712.35584401782,40870.76971728573,gradient_tolerance
219,1e-05,136252.34862480595,40011.34034002596,gradient_tolerance
220,1e-05,120425.34221280222,39077.88148959463,gradient_tolerance
221,1e-05,105401.33657367602,37999.60316376865,gradient_tolerance
222,1e-05,91299.33166376126,36506.85380796826,gradient_tolerance
223,1e-05,78276.32743255336,34916.385498606105,gradient_tolerance
224,1e-05,66435.32382292552,33027.34990128224,gradient_tolerance
225,1e-05,55846.32077301423,31146.827751654713,gradient_tolerance
226,1e-05,46475.31822285883,28806.709700461015,gradient_tolerance
227,1e-05,38497.31610530246,26691.686700130114,gradient_tolerance
228,1e-05,31827.31435628938,24376.65235612062,gradient_tolerance
229,1e-05,26190.31291387759,21117.748751350573,gradient_tolerance
230,1e-05,21989.31171503485,18901.538439186275,gradient_tolerance
231,1e-05,18677.31070464941,16630.65464730395,gradient_tolerance
232,1e-05,16028.309839322957,15285.26828479781,gradient_tolerance
233,1e-05,13784.309096337638,13999.335778733508,gradient_tolerance
234,1e-05,11888.308455970273,12995.939080531009,gradient_tolerance
235,1e-05,10257.307903133591,11971.365770096327,gradient_tolerance
236,1e-05,9021.307425287048,11435.814122883448,gradient_tolerance
237,1e-05,7870.307007842742,10314.594310932778,gradient_tolerance
